Dataset,Model,frac,n_train,fold,rep,test_RMSE,train_RMSE
aemo,kNN,0.5,576,1,2,395.43811776303534,181.9910811684684
aemo,kNN,0.5,576,1,3,396.0876246836398,192.0524548226959
aemo,kNN,0.5,576,1,4,400.8843821191362,187.0692377151476
aemo,kNN,0.75,864,1,0,389.6300275528305,165.11767326138846
aemo,kNN,0.75,864,1,1,399.69957213354155,164.7125342764574
aemo,kNN,0.75,864,1,2,396.3432822296292,159.52188690186526
aemo,kNN,0.75,864,1,3,390.3998194349395,165.69929082030455
aemo,kNN,0.75,864,1,4,388.5769452504977,168.42765940988332
aemo,kNN,1.0,1152,1,0,396.2359907489721,150.46265813482273
aemo,kNN,1.0,1152,1,1,396.2359907489721,150.46265813482273
aemo,kNN,1.0,1152,1,2,396.2359907489721,150.46265813482273
aemo,kNN,1.0,1152,1,3,396.2359907489721,150.46265813482273
aemo,kNN,1.0,1152,1,4,396.2359907489721,150.46265813482273
aemo,kNN,0.1,115,2,0,354.81269134056254,303.2273368503515
aemo,kNN,0.1,115,2,1,321.5854676813945,229.2776718523899
aemo,kNN,0.1,115,2,2,346.62706085641724,224.38072025686893
aemo,kNN,0.1,115,2,3,376.80534674495203,280.0260359381514
aemo,kNN,0.1,115,2,4,317.96000986516907,254.95152414050247
aemo,kNN,0.25,288,2,0,345.6128643504777,242.5793471176265
aemo,kNN,0.25,288,2,1,301.5262013065319,212.6235954755036
aemo,kNN,0.25,288,2,2,308.58633328623245,223.98685622548874
aemo,kNN,0.25,288,2,3,329.51778128493237,237.23863218629685
aemo,kNN,0.25,288,2,4,316.5555274199318,220.9707515275872
aemo,kNN,0.5,576,2,0,331.87152424654073,194.8665707420259
aemo,kNN,0.5,576,2,1,327.5879577614742,185.86186958350652
aemo,kNN,0.5,576,2,2,330.27974191353644,189.277807610379
aemo,kNN,0.5,576,2,3,311.82061742753467,190.63924572061137
aemo,kNN,0.5,576,2,4,337.71836283572816,187.19157250019893
aemo,kNN,0.75,864,2,0,318.25254775416005,170.4857567473394
aemo,kNN,0.75,864,2,1,326.81287574396714,161.02353981037936
aemo,kNN,0.75,864,2,2,334.10299680591686,162.2721711979057
aemo,kNN,0.75,864,2,3,322.9724321340497,168.01050250773844
aemo,kNN,0.75,864,2,4,314.92711549041184,169.6183432582025
aemo,kNN,1.0,1152,2,0,317.1562979146787,151.34933416086605
aemo,kNN,1.0,1152,2,1,317.1562979146787,151.34933416086605
aemo,kNN,1.0,1152,2,2,317.1562979146787,151.34933416086605
aemo,kNN,1.0,1152,2,3,317.1562979146787,151.34933416086605
aemo,kNN,1.0,1152,2,4,317.1562979146787,151.34933416086605
aemo,kNN,0.1,115,3,0,347.1823097159194,288.35780417101665
aemo,kNN,0.1,115,3,1,326.339334592865,269.46084183888723
aemo,kNN,0.1,115,3,2,361.8582502608737,289.612930795991
aemo,kNN,0.1,115,3,3,345.9231425367691,306.6777234703217
aemo,kNN,0.1,115,3,4,299.4652513623474,299.8250893750933
aemo,kNN,0.25,288,3,0,314.22331142563513,224.58921291870735
aemo,kNN,0.25,288,3,1,333.43561013301775,219.85375187837943
aemo,kNN,0.25,288,3,2,321.87419184828434,225.95240997869556
aemo,kNN,0.25,288,3,3,354.45592367507015,222.90518114909548
aemo,kNN,0.25,288,3,4,313.7846903183464,210.30540116033245
aemo,kNN,0.5,576,3,0,322.49510168976036,192.32176486282404
aemo,kNN,0.5,576,3,1,317.3310474559652,197.8314774621424
aemo,kNN,0.5,576,3,2,311.85284723939833,196.16019953091129
aemo,kNN,0.5,576,3,3,337.10662593872536,190.3717875573238
aemo,kNN,0.5,576,3,4,323.2472086180927,183.3458289521926
aemo,kNN,0.75,864,3,0,316.7618204603597,165.7018262847931
aemo,kNN,0.75,864,3,1,317.753102394484,172.42545853422024
aemo,kNN,0.75,864,3,2,327.8305048374211,168.10232056630798
aemo,kNN,0.75,864,3,3,326.9591620774511,162.21046487448425
aemo,kNN,0.75,864,3,4,321.92736342170843,163.2200837043459
aemo,kNN,1.0,1152,3,0,322.29202954765185,152.0846454402417
aemo,kNN,1.0,1152,3,1,322.29202954765185,152.0846454402417
aemo,kNN,1.0,1152,3,2,322.29202954765185,152.0846454402417
aemo,kNN,1.0,1152,3,3,322.29202954765185,152.0846454402417
aemo,kNN,1.0,1152,3,4,322.29202954765185,152.0846454402417
aemo,kNN,0.1,115,4,0,414.4773221402033,222.216767421441
aemo,kNN,0.1,115,4,1,424.71984857717297,261.2496663299887
aemo,kNN,0.1,115,4,2,412.16866244790765,282.5402464010178
aemo,kNN,0.1,115,4,3,408.4154231389625,268.72153558643276
aemo,kNN,0.1,115,4,4,426.589520839576,255.09346064428695
aemo,kNN,0.25,288,4,0,377.67934604809847,217.29822593688945
aemo,kNN,0.25,288,4,1,366.1800513832337,231.50652810330084
aemo,kNN,0.25,288,4,2,392.27546540071455,207.9554693970964
aemo,kNN,0.25,288,4,3,376.5590434153941,224.5879041477351
aemo,kNN,0.25,288,4,4,364.8505935740646,236.76135263024995
aemo,kNN,0.5,576,4,0,383.3713387658202,195.69173854700313
aemo,kNN,0.5,576,4,1,374.6540053709739,188.6157611884948
aemo,kNN,0.5,576,4,2,378.1670569102401,178.2832419513025
aemo,kNN,0.5,576,4,3,363.3663092866442,186.50193401590673
